Year,All,LatinAmerica,Africa,Asia,Other
2000,40000,180,4000,35800,20
2001,35000,260,6000,28700,40
2002,30000,350,14800,14800,50
2003,30000,180,6000,23800,20
2004,32000,280,3000,28700,20
2005,42000,460,6000,35500,40
2006,39000,450,4000,34500,50
2007,100000,900,9000,90000,100
2008,70000,900,32000,32000,100
2009,50000,1800,13000,35000,200
2010,150000,9000,70000,70000,1000
2011,550000,80000,200000,250000,20000
2012,800000,170000,370000,250000,10000
2013,1100000,150000,480000,420000,50000
2014,1950000,100000,900000,900000,50000
