Partner Country,Unit,region,subregion,quarter,year,value
Angola,M3,Africa,other africa,Q1,2009,0
Angola,M3,Africa,other africa,Q2,2009,0
Angola,M3,Africa,other africa,Q3,2009,0
Angola,M3,Africa,other africa,Q4,2009,0
Angola,M3,Africa,other africa,Q1,2010,0
Angola,M3,Africa,other africa,Q2,2010,0
Angola,M3,Africa,other africa,Q3,2010,0
Angola,M3,Africa,other africa,Q4,2010,0
Angola,M3,Africa,other africa,Q1,2011,0
Angola,M3,Africa,other africa,Q2,2011,0
Angola,M3,Africa,other africa,Q3,2011,0
Angola,M3,Africa,other africa,Q4,2011,0
Angola,M3,Africa,other africa,Q1,2012,118
Angola,M3,Africa,other africa,Q2,2012,0
Angola,M3,Africa,other africa,Q3,2012,0
Angola,M3,Africa,other africa,Q4,2012,0
Angola,M3,Africa,other africa,Q1,2013,0
Angola,M3,Africa,other africa,Q2,2013,0
Angola,M3,Africa,other africa,Q3,2013,0
Angola,M3,Africa,other africa,Q4,2013,0
Angola,M3,Africa,other africa,Q1,2014,0
Angola,M3,Africa,other africa,Q2,2014,0
Angola,M3,Africa,other africa,Q3,2014,0
Angola,M3,Africa,other africa,Q4,2014,0
Angola,M3,Africa,other africa,Q1,2015,0
Angola,M3,Africa,other africa,Q2,2015,0
Angola,M3,Africa,other africa,Q3,2015,0
Angola,M3,Africa,other africa,Q4,2015,0
Angola,M3,Africa,other africa,Q1,2016,0
Angola,M3,Africa,other africa,Q2,2016,0
Angola,M3,Africa,other africa,Q3,2016,0
Angola,M3,Africa,other africa,Q4,2016,0
Angola,M3,Africa,other africa,Q1,2017,0
Australia,M3,Oceania,0,Q1,2009,0
Australia,M3,Oceania,0,Q2,2009,14
Australia,M3,Oceania,0,Q3,2009,0
Australia,M3,Oceania,0,Q4,2009,12
Australia,M3,Oceania,0,Q1,2010,0
Australia,M3,Oceania,0,Q2,2010,0
Australia,M3,Oceania,0,Q3,2010,54
Australia,M3,Oceania,0,Q4,2010,6
Australia,M3,Oceania,0,Q1,2011,0
Australia,M3,Oceania,0,Q2,2011,4
Australia,M3,Oceania,0,Q3,2011,17
Australia,M3,Oceania,0,Q4,2011,13
Australia,M3,Oceania,0,Q1,2012,8
Australia,M3,Oceania,0,Q2,2012,2
Australia,M3,Oceania,0,Q3,2012,4
Australia,M3,Oceania,0,Q4,2012,105
Australia,M3,Oceania,0,Q1,2013,0
Australia,M3,Oceania,0,Q2,2013,5
Australia,M3,Oceania,0,Q3,2013,0
Australia,M3,Oceania,0,Q4,2013,0
Australia,M3,Oceania,0,Q1,2014,0
Australia,M3,Oceania,0,Q2,2014,0
Australia,M3,Oceania,0,Q3,2014,0
Australia,M3,Oceania,0,Q4,2014,0
Australia,M3,Oceania,0,Q1,2015,0
Australia,M3,Oceania,0,Q2,2015,0
Australia,M3,Oceania,0,Q3,2015,0
Australia,M3,Oceania,0,Q4,2015,0
Australia,M3,Oceania,0,Q1,2016,0
Australia,M3,Oceania,0,Q2,2016,0
Australia,M3,Oceania,0,Q3,2016,0
Australia,M3,Oceania,0,Q4,2016,0
Australia,M3,Oceania,0,Q1,2017,0
Belize,M3,Latin America,0,Q1,2009,0
Belize,M3,Latin America,0,Q2,2009,0
Belize,M3,Latin America,0,Q3,2009,0
Belize,M3,Latin America,0,Q4,2009,0
Belize,M3,Latin America,0,Q1,2010,0
Belize,M3,Latin America,0,Q2,2010,33
Belize,M3,Latin America,0,Q3,2010,17
Belize,M3,Latin America,0,Q4,2010,39
Belize,M3,Latin America,0,Q1,2011,174
Belize,M3,Latin America,0,Q2,2011,231
Belize,M3,Latin America,0,Q3,2011,353
Belize,M3,Latin America,0,Q4,2011,1029
Belize,M3,Latin America,0,Q1,2012,2551
Belize,M3,Latin America,0,Q2,2012,849
Belize,M3,Latin America,0,Q3,2012,1237
Belize,M3,Latin America,0,Q4,2012,354
Belize,M3,Latin America,0,Q1,2013,305
Belize,M3,Latin America,0,Q2,2013,1112
Belize,M3,Latin America,0,Q3,2013,2136
Belize,M3,Latin America,0,Q4,2013,1822
